time,sp,pv
42.0,1.0,0.841918132878323
42.5,1.0,0.8504622762097818
43.0,1.0,0.8585894136477075
43.5,1.0,0.866314688221227
44.0,1.0,0.8736510348978644
44.5,1.0,0.8806093150946743
45.0,1.0,0.8872161042087547
45.5,1.0,0.8934924687686122
46.0,1.0,0.8994544577249728
46.5,1.0,0.9051161884861761
47.0,1.0,0.9104912507178011
47.5,1.0,0.9155930528706638
48.0,1.0,0.920434845601082
48.5,1.0,0.9250297108091771
49.0,1.0,0.9293905800615988
49.5,1.0,0.9335302797568024
50.0,1.0,0.937459021140705
50.5,1.0,0.9411863875618283
51.0,1.0,0.9447219412941161
51.5,1.0,0.9480750729315606
52.0,1.0,0.9512548100387507
52.5,1.0,0.9542697306068422
53.0,1.0,0.9571279420029124
53.5,1.0,0.9598370817245414
54.0,1.0,0.9624043199870098
54.5,1.0,0.9648363584147007
55.0,1.0,0.9671397968155314
55.5,1.0,0.9693210133655569
56.0,1.0,0.971386061942265
56.5,1.0,0.9733406675704742
57.0,1.0,0.9751902579522136
57.5,1.0,0.9769399945310742
58.0,1.0,0.9785947962382952
58.5,1.0,0.9801593586736975
59.0,1.0,0.9816381717676467
59.5,1.0,0.9830355375180512
60.0,1.0,0.9843555344172472
60.5,1.0,0.9856020283695798
61.0,1.0,0.9867786967147889
61.5,1.0,0.9878890442597726
62.0,1.0,0.9889364120591708
62.5,1.0,0.9899239834753021
63.0,1.0,0.990854789731997
63.5,1.0,0.9917317153501726
64.0,1.0,0.9925575032496762
64.5,1.0,0.9933347592700131
65.0,1.0,0.9940659637801167
65.5,1.0,0.9947534793829889
66.0,1.0,0.9953995553791107
66.5,1.0,0.9960063318735264
67.0,1.0,0.9965758444027613
67.5,1.0,0.9971100288528171
68.0,1.0,0.9976107263592942
68.5,1.0,0.9980796880648252
69.0,1.0,0.9985185797351662
69.5,1.0,0.9989289862793166
70.0,1.0,0.9993124150898063
70.5,1.0,0.9996702993183153
71.0,1.0,1.0000040013924743
71.5,1.0,1.0003148165241558
72.0,1.0,1.0006039760253964
72.5,1.0,1.0008726504023593
73.0,1.0,1.0011219522566261
73.5,1.0,1.0013529390203793
74.0,1.0,1.0015666155363534
74.5,1.0,1.0017639364828317
75.0,1.0,1.0019458088035829
75.5,1.0,1.0021130940554492
76.0,1.0,1.0022666106078424
76.5,1.0,1.0024071357064959
77.0,1.0,1.002535407431776
77.5,1.0,1.0026521265691954
78.0,1.0,1.0027579583986466
78.5,1.0,1.0028535344055156
79.0,1.0,1.002939453917495
79.5,1.0,1.0030162856723304
80.0,1.0,1.0030845692989723
80.5,1.0,1.0031448167200716
81.0,1.0,1.0031975134897673
81.5,1.0,1.0032431200727443
82.0,1.0,1.0032820730654843
82.5,1.0,1.0033147863602994
83.0,1.0,1.0033416522537888
83.5,1.0,1.003363042501952
84.0,1.0,1.0033793093241599
84.5,1.0,1.0033907863578715
85.0,1.0,1.0033977895690567
